(1, 'abyssinian', 'abyssinian')
(2, 'abyssinian', 'singapura')
(3, 'abyssinian', 'abyssinian')
(4, 'abyssinian', 'abyssinian')
(5, 'abyssinian', 'abyssinian')
(6, 'abyssinian', 'abyssinian')
(7, 'abyssinian', 'abyssinian')
(8, 'abyssinian', 'abyssinian')
(9, 'abyssinian', 'abyssinian')
(10, 'abyssinian', 'abyssinian')
(11, 'abyssinian', 'abyssinian')
(12, 'abyssinian', 'abyssinian')
(13, 'abyssinian', 'abyssinian')
(14, 'abyssinian', 'abyssinian')
(15, 'abyssinian', 'abyssinian')
(16, 'abyssinian', 'abyssinian')
(17, 'abyssinian', 'abyssinian')
(18, 'abyssinian', 'abyssinian')
(19, 'abyssinian', 'abyssinian')
(20, 'abyssinian', 'abyssinian')
(21, 'abyssinian', 'abyssinian')
(22, 'abyssinian', 'abyssinian')
(23, 'abyssinian', 'abyssinian')
(24, 'abyssinian', 'abyssinian')
(25, 'abyssinian', 'abyssinian')
(26, 'american_bulldog', 'american bulldog')
(27, 'american_bulldog', 'bullmastiff')
(28, 'american_bulldog', 'boxer')
(29, 'american_bulldog', 'boxer')
(30, 'american_bulldog', 'american pit bull terrier')
(31, 'american_bulldog', 'american staffordshire terrier')
(32, 'american_bulldog', 'american staffordshire terrier')
(33, 'american_bulldog', 'american bulldog')
(34, 'american_bulldog', 'american bulldog')
(35, 'american_bulldog', 'american pit bull terrier')
(36, 'american_bulldog', 'american bulldog')
(37, 'american_bulldog', 'american staffordshire terrier')
(38, 'american_bulldog', 'dogo argentino')
(39, 'american_bulldog', 'american bulldog')
(40, 'american_bulldog', 'american bulldog')
(41, 'american_bulldog', 'american staffordshire terrier')
(42, 'american_bulldog', 'boxer')
(43, 'american_bulldog', 'american bulldog')
(44, 'american_bulldog', 'american bulldog')
(45, 'american_bulldog', 'american bulldog')
(46, 'american_bulldog', 'boxer')
(47, 'american_bulldog', 'boxer')
(48, 'american_bulldog', 'bulldog')
(49, 'american_bulldog', 'boxer')
(50, 'american_bulldog', 'american bulldog')
(51, 'american_pit_bull_terrier', 'staffordshire bull terrier')
(52, 'american_pit_bull_terrier', 'american pit bull terrier')
(53, 'american_pit_bull_terrier', 'american pit bull terrier')
(54, 'american_pit_bull_terrier', 'american pit bull terrier')
(55, 'american_pit_bull_terrier', 'great dane')
(56, 'american_pit_bull_terrier', 'pit bull terrier')
(57, 'american_pit_bull_terrier', 'labrador retriever')
(58, 'american_pit_bull_terrier', 'american staffordshire terrier')
(59, 'american_pit_bull_terrier', 'boxer')
(60, 'american_pit_bull_terrier', 'american staffordshire terrier')
(61, 'american_pit_bull_terrier', 'american pit bull terrier')
(62, 'american_pit_bull_terrier', 'american staffordshire terrier')
(63, 'american_pit_bull_terrier', 'american staffordshire terrier')
(64, 'american_pit_bull_terrier', 'mixed breed')
(65, 'american_pit_bull_terrier', 'american pit bull terrier')
(66, 'american_pit_bull_terrier', 'american pit bull terrier')
(67, 'american_pit_bull_terrier', 'american staffordshire terrier')
(68, 'american_pit_bull_terrier', 'american pit bull terrier')
(69, 'american_pit_bull_terrier', 'american pit bull terrier')
(70, 'american_pit_bull_terrier', 'plott hound')
(71, 'american_pit_bull_terrier', 'american staffordshire terrier')
(72, 'american_pit_bull_terrier', 'american staffordshire terrier')
(73, 'american_pit_bull_terrier', 'staffordshire bull terrier')
(74, 'american_pit_bull_terrier', 'pit bull terrier')
(75, 'american_pit_bull_terrier', 'american pit bull terrier')
(76, 'basset_hound', 'basset hound')
(77, 'basset_hound', 'basset hound')
(78, 'basset_hound', 'basset hound')
(79, 'basset_hound', 'basset hound')
(80, 'basset_hound', 'basset hound')
(81, 'basset_hound', 'bassethound')
(82, 'basset_hound', 'basset hound')
(83, 'basset_hound', 'basset hound')
(84, 'basset_hound', 'basset hound')
(85, 'basset_hound', 'basset hound')
(86, 'basset_hound', 'basset hound')
(87, 'basset_hound', 'basset hound')
